perturbation,triage_2d,quality_label,pert_type,split
AAAS,unmeasurable,unreliable,single,train
AAMP,unmeasurable,unreliable,single,train
AARS2,unmeasurable,unreliable,single,train
AATF,genuine_signal,genuine,single,train
ABCB10,unmeasurable,unreliable,single,train
ABCB7,unmeasurable,unreliable,single,train
ABCE1,genuine_signal,genuine,single,test
ABCF1,unmeasurable,unreliable,single,train
ABHD17A,unmeasurable,unreliable,single,train
ABT1,unmeasurable,unreliable,single,train
ACD,unmeasurable,unreliable,single,train
ACIN1,unmeasurable,unreliable,single,test
ACTB,unmeasurable,unreliable,single,train
ACTL6A,genuine_signal,genuine,single,train
ACTR10,unmeasurable,unreliable,single,train
ACTR1A,unmeasurable,unreliable,single,train
ACTR1B,unmeasurable,unreliable,single,test
ACTR2,unmeasurable,unreliable,single,train
ACTR3,unmeasurable,unreliable,single,train
ACTR6,unmeasurable,unreliable,single,train
ACTR8,genuine_signal,genuine,single,test
ADAT2,unmeasurable,unreliable,single,test
ADRM1,unmeasurable,unreliable,single,test
ADSL,unmeasurable,unreliable,single,train
AHCTF1,unmeasurable,unreliable,single,test
AHCY,unmeasurable,unreliable,single,train
AIFM1,unmeasurable,unreliable,single,test
AKIRIN2,unmeasurable,unreliable,single,test
ALDOA,genuine_signal,genuine,single,train
ALG1,unmeasurable,unreliable,single,train
ALG11,unmeasurable,unreliable,single,train
ALG13,unmeasurable,unreliable,single,train
ALG14,unmeasurable,unreliable,single,test
ALG2,unmeasurable,unreliable,single,train
ALYREF,unmeasurable,unreliable,single,train
ANAPC1,unmeasurable,unreliable,single,train
ANAPC11,unmeasurable,unreliable,single,train
ANAPC13,unmeasurable,unreliable,single,train
ANAPC15,unmeasurable,unreliable,single,train
ANAPC4,unmeasurable,unreliable,single,train
ANKLE2,unmeasurable,unreliable,single,test
ANKRD11,unmeasurable,unreliable,single,test
ANKRD49,unmeasurable,unreliable,single,train
ANKS6,unmeasurable,unreliable,single,train
ANLN,unmeasurable,unreliable,single,train
AP2M1,unmeasurable,unreliable,single,test
AP2S1,unmeasurable,unreliable,single,train
AQR,genuine_signal,genuine,single,test
ARCN1,genuine_signal,genuine,single,train
ARF4,unmeasurable,unreliable,single,train
ARFRP1,unmeasurable,unreliable,single,train
ARGLU1,genuine_signal,genuine,single,test
ARIH1,unmeasurable,unreliable,single,test
ARL2,unmeasurable,unreliable,single,test
ARL4D,unmeasurable,unreliable,single,test
ARMC6,unmeasurable,unreliable,single,train
ARPC2,unmeasurable,unreliable,single,train
ARPC3,unmeasurable,unreliable,single,train
ARPC4,unmeasurable,unreliable,single,test
ASF1B,unmeasurable,unreliable,single,train
ATF4,unmeasurable,unreliable,single,train
ATF5,genuine_signal,genuine,single,train
ATL2,unmeasurable,unreliable,single,train
ATP1A1,genuine_signal,genuine,single,train
ATP2A2,unmeasurable,unreliable,single,train
ATP6AP1,unmeasurable,unreliable,single,train
ATP6AP2,unmeasurable,unreliable,single,train
ATP6V0B,unmeasurable,unreliable,single,train
ATP6V0C,unmeasurable,unreliable,single,train
ATP6V0D1,unmeasurable,unreliable,single,train
ATP6V1A,unmeasurable,unreliable,single,train
ATP6V1B2,genuine_signal,genuine,single,train
ATP6V1C1,unmeasurable,unreliable,single,train
ATP6V1D,unmeasurable,unreliable,single,test
ATP6V1E1,unmeasurable,unreliable,single,train
ATP6V1F,unmeasurable,unreliable,single,train
ATP6V1G1,unmeasurable,unreliable,single,train
ATP6V1H,unmeasurable,unreliable,single,train
ATR,unmeasurable,unreliable,single,train
ATRIP,unmeasurable,unreliable,single,test
AURKA,unmeasurable,unreliable,single,train
AURKAIP1,unmeasurable,unreliable,single,train
BANF1,unmeasurable,unreliable,single,train
BANP,unmeasurable,unreliable,single,train
BAP1,genuine_signal,genuine,single,train
BARD1,unmeasurable,unreliable,single,test
BCAR1,unmeasurable,unreliable,single,test
BCAS2,genuine_signal,genuine,single,train
BCL2L1,unmeasurable,unreliable,single,train
BCLAF1,unmeasurable,unreliable,single,train
BCR,genuine_signal,genuine,single,train
BCS1L,unmeasurable,unreliable,single,test
BDP1,genuine_signal,genuine,single,train
BET1,unmeasurable,unreliable,single,train
BNIP1,unmeasurable,unreliable,single,train
BOP1,unmeasurable,unreliable,single,test
BORA,unmeasurable,unreliable,single,train
BPTF,unmeasurable,unreliable,single,test
BRCA1,unmeasurable,unreliable,single,test
BRCA2,unmeasurable,unreliable,single,train
BRD4,unmeasurable,unreliable,single,train
BRD8,unmeasurable,unreliable,single,train
BRF1,unmeasurable,unreliable,single,test
BRF2,unmeasurable,unreliable,single,test
BRIP1,unmeasurable,unreliable,single,train
BRIX1,genuine_signal,genuine,single,train
BRK1,unmeasurable,unreliable,single,train
BTF3,unmeasurable,unreliable,single,train
BTF3L4,unmeasurable,unreliable,single,test
BUB1,unmeasurable,unreliable,single,train
BUB1B,unmeasurable,unreliable,single,train
BUB3,genuine_signal,genuine,single,train
BUD13,genuine_signal,genuine,single,train
BYSL,genuine_signal,genuine,single,test
C17orf58,unmeasurable,unreliable,single,train
C19orf25,unmeasurable,unreliable,single,train
C19orf53,unmeasurable,unreliable,single,train
C1D,unmeasurable,unreliable,single,train
C1QBP,unmeasurable,unreliable,single,train
C1orf109,unmeasurable,unreliable,single,train
C7orf50,unmeasurable,unreliable,single,train
C9orf78,unmeasurable,unreliable,single,train
CACTIN,unmeasurable,unreliable,single,train
CAMLG,unmeasurable,unreliable,single,train
CAPZB,unmeasurable,unreliable,single,test
CBLL1,unmeasurable,unreliable,single,test
CBX1,unmeasurable,unreliable,single,train
CCDC115,unmeasurable,unreliable,single,train
CCDC137,unmeasurable,unreliable,single,train
CCDC174,genuine_signal,genuine,single,test
CCDC59,unmeasurable,unreliable,single,train
CCDC86,genuine_signal,genuine,single,train
CCNB1,unmeasurable,unreliable,single,train
CCNH,unmeasurable,unreliable,single,train
CCNK,unmeasurable,unreliable,single,train
CCNL1,unmeasurable,unreliable,single,test
CCT2,genuine_signal,genuine,single,test
CCT3,genuine_signal,genuine,single,test
CCT4,genuine_signal,genuine,single,train
CCT5,genuine_signal,genuine,single,test
CCT6A,genuine_signal,genuine,single,train
CCT7,genuine_signal,genuine,single,train
CCT8,genuine_signal,genuine,single,train
CD2BP2,unmeasurable,unreliable,single,train
CDC123,unmeasurable,unreliable,single,train
CDC16,unmeasurable,unreliable,single,train
CDC20,unmeasurable,unreliable,single,train
CDC23,unmeasurable,unreliable,single,train
