perturbation,triage_2d,quality_label,pert_type,split
ABCB10,genuine_signal,genuine,single,test
AKAP12,genuine_signal,genuine,single,train
ALX4,genuine_signal,genuine,single,train
APOBEC3C,genuine_signal,genuine,single,train
APOBEC3D,genuine_signal,genuine,single,test
APOL2,genuine_signal,genuine,single,train
ARHGDIB,genuine_signal,genuine,single,train
ARHGDIB+TNFRSF1A,unmeasurable,unreliable,double,test
CBY1,unmeasurable,unreliable,single,train
CBY1+EMP3,unmeasurable,unreliable,double,test
CBY1+GRAP,unmeasurable,unreliable,double,train
CBY1+LCP2,unmeasurable,unreliable,double,train
CBY1+PRKD2,unmeasurable,unreliable,double,train
CBY1+TRIM21,unmeasurable,unreliable,double,test
CD2,genuine_signal,genuine,single,train
CD2+EMP3,unmeasurable,unreliable,double,train
CD2+MUC1,unmeasurable,unreliable,double,train
CD2+TRAF3IP2,unmeasurable,unreliable,double,train
CD247,genuine_signal,genuine,single,test
CD27,genuine_signal,genuine,single,test
CD27+CNR2,unmeasurable,unreliable,double,test
CD27+EMP3,unmeasurable,unreliable,double,train
CD27+GRAP,unmeasurable,unreliable,double,train
CD27+IL1R1,unmeasurable,unreliable,double,test
CD27+IL2RB,unmeasurable,unreliable,double,train
CD27+IL2RG,unmeasurable,unreliable,double,test
CD27+IL9R,unmeasurable,unreliable,double,train
CD27+LAT,unmeasurable,unreliable,double,test
CD27+LAT2,unmeasurable,unreliable,double,train
CD27+MUC1,unmeasurable,unreliable,double,train
CD27+NOTCH1,unmeasurable,unreliable,double,train
CD27+PIK3AP1,unmeasurable,unreliable,double,train
CD27+PRKD2,unmeasurable,unreliable,double,train
CD27+TRAF3IP2,unmeasurable,unreliable,double,train
CD27+VAV1,unmeasurable,unreliable,double,train
CD28,genuine_signal,genuine,single,train
CEACAM1,genuine_signal,genuine,single,train
CNR2,genuine_signal,genuine,single,train
CNR2+EMP3,unmeasurable,unreliable,double,train
CNR2+LAT2,unmeasurable,unreliable,double,test
CNR2+PLCG2,unmeasurable,unreliable,double,train
CNR2+TRAF3IP2,unmeasurable,unreliable,double,train
DEF6,genuine_signal,genuine,single,train
DEPDC7,genuine_signal,genuine,single,train
EMP1,genuine_signal,genuine,single,train
EMP1+EMP3,unmeasurable,unreliable,double,train
EMP1+TAGAP,unmeasurable,unreliable,double,train
EMP1+TNFRSF1B,unmeasurable,unreliable,double,train
EMP3,genuine_signal,genuine,single,train
EMP3+GRAP,unmeasurable,unreliable,double,train
EMP3+IL2RB,unmeasurable,unreliable,double,train
EMP3+IL2RG,unmeasurable,unreliable,double,train
EMP3+JMJD1C,unmeasurable,unreliable,double,train
EMP3+LAT2,unmeasurable,unreliable,double,test
EMP3+LCP2,unmeasurable,unreliable,double,test
EMP3+MAP4K1,unmeasurable,unreliable,double,test
EMP3+MUC1,unmeasurable,unreliable,double,test
EMP3+P2RY14,unmeasurable,unreliable,double,train
EMP3+PRKD2,unmeasurable,unreliable,double,train
EMP3+TAGAP,unmeasurable,unreliable,double,train
EMP3+TBX21,unmeasurable,unreliable,double,train
EMP3+TNFRSF1A,unmeasurable,unreliable,double,test
EMP3+TNFRSF1B,unmeasurable,unreliable,double,train
EMP3+TNFRSF9,unmeasurable,unreliable,double,train
EMP3+TRAF3IP2,unmeasurable,unreliable,double,train
EMP3+VAV1,unmeasurable,unreliable,double,test
EOMES,genuine_signal,genuine,single,train
FOSB,genuine_signal,genuine,single,train
FOSL1,genuine_signal,genuine,single,test
FOXD2,genuine_signal,genuine,single,train
FOXQ1,genuine_signal,genuine,single,train
FOXQ1+TNFRSF1A,unmeasurable,unreliable,double,train
GATA3,genuine_signal,genuine,single,train
GRAP,genuine_signal,genuine,single,train
GRAP+LTBR,unmeasurable,unreliable,double,train
GRAP+PRKD2,unmeasurable,unreliable,double,test
GRAP+TNFRSF1A,unmeasurable,unreliable,double,train
HELZ2,genuine_signal,genuine,single,test
IKZF3,genuine_signal,genuine,single,train
IL1R1,genuine_signal,genuine,single,test
IL1R1+TNFRSF1B,genuine_signal,genuine,double,train
IL2RB,genuine_signal,genuine,single,train
IL2RG,genuine_signal,genuine,single,train
IL2RG+TRAF3IP2,unmeasurable,unreliable,double,train
IL9R,genuine_signal,genuine,single,train
IL9R+TNFRSF1A,unmeasurable,unreliable,double,train
IL9R+TNFRSF1B,unmeasurable,unreliable,double,train
INPPL1,genuine_signal,genuine,single,train
ITPKA,genuine_signal,genuine,single,train
JMJD1C,genuine_signal,genuine,single,train
JMJD1C+TNFRSF1B,unmeasurable,unreliable,double,train
JMJD1C+TRAF3IP2,unmeasurable,unreliable,double,train
LAT,genuine_signal,genuine,single,train
LAT2,genuine_signal,genuine,single,train
LAT2+PLCG2,unmeasurable,unreliable,double,train
LAT2+TNFRSF1B,unmeasurable,unreliable,double,train
LCP2,genuine_signal,genuine,single,train
LHX4,genuine_signal,genuine,single,test
LHX6,genuine_signal,genuine,single,train
LHX6+NOTCH1,unmeasurable,unreliable,double,train
LTBR,genuine_signal,genuine,single,test
MAP4K1,genuine_signal,genuine,single,train
MGST3,genuine_signal,genuine,single,test
MGST3+TRIM21,unmeasurable,unreliable,double,train
MUC1,genuine_signal,genuine,single,test
MUC1+NOTCH1,unmeasurable,unreliable,double,test
MUC1+TNFRSF1A,unmeasurable,unreliable,double,train
MUC1+TRIM21,unmeasurable,unreliable,double,train
NOTCH1,genuine_signal,genuine,single,train
NOTCH1+TNFRSF1A,unmeasurable,unreliable,double,test
OTUD7A,unmeasurable,unreliable,single,test
OTUD7B,genuine_signal,genuine,single,train
P2RY14,unmeasurable,unreliable,single,test
P2RY14+TRAF3IP2,unmeasurable,unreliable,double,test
PAPOLG,genuine_signal,genuine,single,train
PIK3AP1,genuine_signal,genuine,single,train
PLCG2,genuine_signal,genuine,single,test
PLCG2+TNFRSF1A,unmeasurable,unreliable,double,train
PLCG2+TRAF3IP2,unmeasurable,unreliable,double,test
PRDM1,unmeasurable,unreliable,single,train
PRDM13,genuine_signal,genuine,single,train
PRKD2,unmeasurable,unreliable,single,train
PRKD2+TNFRSF1A,unmeasurable,unreliable,double,train
PRKD2+TNFRSF1B,unmeasurable,unreliable,double,train
PRKD2+TRAF3IP2,unmeasurable,unreliable,double,train
PRKD2+TRIM21,unmeasurable,unreliable,double,train
PRKD2+VAV1,unmeasurable,unreliable,double,train
RAC2,genuine_signal,genuine,single,train
RELA,genuine_signal,genuine,single,train
SLA2,genuine_signal,genuine,single,train
TAGAP,falsely_solved,trivial,single,train
TAGAP+TRAF3IP2,unmeasurable,unreliable,double,train
TBX21,genuine_signal,genuine,single,train
TCF7,genuine_signal,genuine,single,test
TNFRSF12A,genuine_signal,genuine,single,train
TNFRSF12A+TRAF3IP2,unmeasurable,unreliable,double,train
TNFRSF1A,falsely_solved,trivial,single,train
TNFRSF1A+TRAF3IP2,unmeasurable,unreliable,double,test
TNFRSF1B,falsely_solved,trivial,single,test
TNFRSF1B+TRAF3IP2,unmeasurable,unreliable,double,train
TNFRSF9,genuine_signal,genuine,single,train
TRAF3IP2,genuine_signal,genuine,single,train
TRAF3IP2+TRIM21,unmeasurable,unreliable,double,train
TRAF3IP2+VAV1,unmeasurable,unreliable,double,train
TRIM21,unmeasurable,unreliable,single,train
VAV1,genuine_signal,genuine,single,test
WT1,genuine_signal,genuine,single,train
